Module	Section	Sample Name	Source
QUAST	all_sections	spades_processed_B069073_contigs	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B069073_quast_output/report.tsv
QUAST	all_sections	skesa_processed_B069073_contigs	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B069073_quast_output/report.tsv
QUAST	all_sections	megahit_processed_B069073_contigs	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B069073_quast_output/report.tsv
QUAST	all_sections	spades_processed_B053323_contigs	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B053323_quast_output/report.tsv
QUAST	all_sections	skesa_processed_B053323_contigs	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B053323_quast_output/report.tsv
QUAST	all_sections	megahit_processed_B053323_contigs	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B053323_quast_output/report.tsv
QUAST	all_sections	spades_processed_B055059_contigs	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B055059_quast_output/report.tsv
QUAST	all_sections	skesa_processed_B055059_contigs	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B055059_quast_output/report.tsv
QUAST	all_sections	megahit_processed_B055059_contigs	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B055059_quast_output/report.tsv
Samtools	flagstat	skesa_processed_B069073_contigs.stat	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B069073_quast_output/reads_stats/skesa_processed_B069073_contigs.stat
Samtools	flagstat	spades_processed_B069073_contigs.stat	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B069073_quast_output/reads_stats/spades_processed_B069073_contigs.stat
Samtools	flagstat	megahit_processed_B069073_contigs.stat	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B069073_quast_output/reads_stats/megahit_processed_B069073_contigs.stat
Samtools	flagstat	spades_processed_B053323_contigs.stat	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B053323_quast_output/reads_stats/spades_processed_B053323_contigs.stat
Samtools	flagstat	megahit_processed_B053323_contigs.stat	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B053323_quast_output/reads_stats/megahit_processed_B053323_contigs.stat
Samtools	flagstat	skesa_processed_B053323_contigs.stat	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B053323_quast_output/reads_stats/skesa_processed_B053323_contigs.stat
Samtools	flagstat	spades_processed_B055059_contigs.stat	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B055059_quast_output/reads_stats/spades_processed_B055059_contigs.stat
Samtools	flagstat	megahit_processed_B055059_contigs.stat	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B055059_quast_output/reads_stats/megahit_processed_B055059_contigs.stat
Samtools	flagstat	skesa_processed_B055059_contigs.stat	/Users/sojeonggwon/biol7210/TeamBGroup1/Group1Assembly/processed_B055059_quast_output/reads_stats/skesa_processed_B055059_contigs.stat
